gene_id	Intestine_w10_rep1	Intestine_w10_rep2	Intestine_w10_rep3	Intestine_w10_rep4	Intestine_w20c_rep1	Intestine_w20c_rep2	Intestine_w20c_rep3	Intestine_w20c_rep4	Intestine_w20dr_rep1	Intestine_w20dr_rep2	Intestine_w20dr_rep3	Intestine_w20dr_rep4
ENSNFUG00015000040	17	23	20	22	22	23	24	17	17	19	26	0
ENSNFUG00015000041	20	41	17	11	42	26	23	34	12	19	15	2
ENSNFUG00015000042	930	995	845	842	701	659	673	684	644	868	647	43
ENSNFUG00015000043	4992	4931	4165	3972	4510	3571	3708	3908	8373	3687	4746	196
ENSNFUG00015000044	334	401	350	376	373	280	324	354	394	329	341	20
ENSNFUG00015000045	490	506	376	423	444	488	408	495	398	329	249	33
ENSNFUG00015000046	32	28	31	40	27	37	42	39	49	36	36	0
ENSNFUG00015000047	374	430	324	366	405	342	374	416	417	404	326	20
ENSNFUG00015000048	64	54	49	72	63	55	55	58	35	59	47	8
ENSNFUG00015000049	1844	2026	1821	2026	1993	1684	1940	1955	2808	1927	2037	125
ENSNFUG00015000050	500	423	441	367	393	410	371	449	362	369	302	14
ENSNFUG00015000051	913	885	791	912	975	911	835	865	878	779	773	37
ENSNFUG00015000052	2465	2226	1818	1802	1927	2074	1886	2426	2311	1397	1919	91
ENSNFUG00015000053	4	3	3	4	1	2	1	0	0	5	8	2
ENSNFUG00015000054	530	594	496	551	432	482	505	490	429	511	408	30
ENSNFUG00015000055	27	27	27	23	14	26	17	11	24	22	21	0
ENSNFUG00015000056	2	9	3	7	6	6	7	7	4	4	5	1
ENSNFUG00015000058	992	1032	918	1001	995	812	895	878	1016	1047	726	49
ENSNFUG00015000063	204	224	192	177	201	189	166	174	194	144	171	19
ENSNFUG00015000126	690	838	700	697	732	669	706	775	739	692	729	43
ENSNFUG00015000127	115	140	94	119	120	107	92	89	98	106	125	6
ENSNFUG00015000133	52	63	59	71	77	88	51	82	184	216	157	4
ENSNFUG00015000165	1	0	0	0	0	0	1	1	0	0	0	0
ENSNFUG00015000166	0	0	0	1	1	0	1	0	0	0	2	0
ENSNFUG00015000167	17	33	31	29	25	24	27	25	29	33	29	3
ENSNFUG00015000168	64	49	38	129	76	60	89	99	74	94	72	1
ENSNFUG00015000176	227	243	218	240	233	224	171	186	180	137	194	8
ENSNFUG00015000179	232	276	238	258	228	193	179	192	387	212	218	11
ENSNFUG00015000180	23	31	24	26	17	26	22	33	9	37	40	0
ENSNFUG00015000184	65	140	102	144	102	75	51	105	132	138	153	7
ENSNFUG00015000189	128	151	100	118	121	104	122	115	155	104	145	7
ENSNFUG00015000192	20	18	17	25	16	16	20	17	23	23	12	1
ENSNFUG00015000196	1	1	0	0	0	1	0	1	0	5	5	0
ENSNFUG00015000197	300	333	303	271	353	296	306	367	320	220	287	6
ENSNFUG00015000201	4	1	5	4	8	8	4	2	0	5	10	0
ENSNFUG00015000204	502	444	482	495	401	419	433	477	418	361	385	11
ENSNFUG00015000207	3	10	3	3	3	5	1	4	3	6	6	0
ENSNFUG00015000208	729	821	603	719	923	701	870	813	642	606	606	47
ENSNFUG00015000209	755	653	465	569	706	732	694	418	708	603	637	25
ENSNFUG00015000213	13619	11110	10403	11716	11600	11266	9501	11223	12688	9971	11913	1448
ENSNFUG00015000214	270	192	331	263	217	271	284	222	46	459	232	24
ENSNFUG00015000218	41	119	88	136	86	43	40	31	103	157	123	11
ENSNFUG00015000221	1	1	1	1	0	0	1	0	2	4	0	0
ENSNFUG00015000228	9	28	18	37	13	11	5	11	22	41	19	1
ENSNFUG00015000230	749	917	820	857	777	605	729	763	1080	962	720	28
ENSNFUG00015000231	21	23	12	15	19	24	17	15	12	15	15	0
ENSNFUG00015000246	110	105	80	110	77	69	73	57	78	79	72	6
ENSNFUG00015000247	333	340	295	283	311	322	330	354	279	267	216	22
ENSNFUG00015000251	1	1	0	0	1	2	1	2	1	1	1	0
ENSNFUG00015000260	28	17	15	13	20	25	25	22	25	19	17	1
ENSNFUG00015000263	6	5	5	6	5	2	8	11	4	8	5	0
ENSNFUG00015000268	22	15	13	17	26	19	15	11	13	11	11	0
ENSNFUG00015000269	12614	13159	11352	14233	12937	13438	14679	16523	9650	11309	9552	686
ENSNFUG00015000273	12	6	9	5	6	6	3	7	11	6	13	0
ENSNFUG00015000278	73	102	86	82	72	74	61	67	79	73	98	2
ENSNFUG00015000282	4	4	1	2	2	0	1	5	3	4	1	0
ENSNFUG00015000291	0	0	0	0	1	3	0	1	2	1	1	0
ENSNFUG00015000294	7	7	4	4	11	3	8	3	7	6	10	0
ENSNFUG00015000299	240	191	100	144	238	358	273	260	147	97	107	6
ENSNFUG00015000302	8	9	4	10	7	8	6	4	6	9	5	0
ENSNFUG00015000304	610	547	530	486	638	510	565	575	788	590	501	42
ENSNFUG00015000306	97	107	84	81	94	108	81	94	79	81	83	7
ENSNFUG00015000309	13	7	11	18	32	23	23	37	125	182	125	1
ENSNFUG00015000310	2131	2451	2316	1898	2241	1695	1869	2042	3150	1847	2356	102
ENSNFUG00015000320	15	11	13	16	11	13	23	10	15	15	8	0
ENSNFUG00015000330	1395	1630	1488	1403	1436	1119	1335	1309	1850	1583	1127	74
ENSNFUG00015000338	31	35	24	20	35	29	26	27	39	49	56	1
ENSNFUG00015000351	935	946	823	877	899	859	791	829	937	831	757	51
ENSNFUG00015000352	248	180	191	270	183	204	254	217	178	273	182	13
ENSNFUG00015000353	0	0	1	0	0	0	0	0	0	0	0	0
ENSNFUG00015000357	0	1	0	0	1	0	1	0	0	1	0	0
ENSNFUG00015000358	6	12	7	11	11	7	11	11	8	15	8	0
ENSNFUG00015000361	2230	2403	2065	2381	2466	2344	2003	2163	2278	2121	1747	115
ENSNFUG00015000364	15	15	11	12	10	11	13	17	11	14	9	0
ENSNFUG00015000368	292	428	434	351	356	221	265	309	618	525	351	20
ENSNFUG00015000375	0	1	0	0	0	1	0	0	0	0	0	0
ENSNFUG00015000378	0	0	0	0	0	0	0	0	1	0	0	0
ENSNFUG00015000380	0	0	1	0	0	1	0	0	1	1	0	0
ENSNFUG00015000382	1001	1052	878	974	1047	1070	936	954	822	684	850	33
ENSNFUG00015000387	515	476	451	436	462	453	421	489	466	403	461	25
ENSNFUG00015000388	4	6	10	5	4	6	7	3	5	4	10	0
ENSNFUG00015000392	1	12	2	4	4	16	3	14	2	26	11	1
ENSNFUG00015000397	389	461	356	401	384	385	351	380	420	365	319	29
ENSNFUG00015000398	402	430	374	353	440	440	358	391	321	351	274	19
ENSNFUG00015000424	293	313	254	268	298	215	265	269	290	332	246	12
ENSNFUG00015000428	1358	1506	1473	1606	1586	1340	1348	1292	1525	1683	1510	70
ENSNFUG00015000443	2189	1539	1320	1728	1332	1007	1195	901	1723	1938	1689	134
ENSNFUG00015000453	25	24	14	24	27	33	26	14	34	19	16	2
ENSNFUG00015000459	9	3	4	3	10	15	9	14	14	3	4	1
ENSNFUG00015000463	1061	1112	978	1057	1056	1096	1084	1076	1170	798	955	48
ENSNFUG00015000467	985	1009	936	1053	953	801	803	955	1141	1099	833	60
ENSNFUG00015000475	370	422	302	284	239	295	269	244	196	144	395	8
ENSNFUG00015000479	403	374	417	414	346	327	346	361	406	347	401	15
ENSNFUG00015000482	599	737	613	683	593	465	569	597	767	739	673	20
ENSNFUG00015000486	444	445	353	365	397	376	361	431	380	315	380	16
ENSNFUG00015000494	515	593	498	537	518	464	382	425	589	540	541	47
ENSNFUG00015000508	3574	2914	2627	3258	2153	1805	2288	2375	2697	3436	3007	161
ENSNFUG00015000514	15	21	11	15	16	12	11	7	4	18	26	8
ENSNFUG00015000524	0	0	0	0	0	0	0	0	0	0	0	0
ENSNFUG00015000527	27	31	14	21	15	35	14	28	27	55	56	1
ENSNFUG00015000537	1	0	0	1	0	0	0	0	0	0	0	0
ENSNFUG00015000544	4	1	0	0	2	0	0	6	1	2	10	0
ENSNFUG00015000551	5	2	3	2	0	2	0	1	2	2	1	0
ENSNFUG00015000556	41	52	37	31	40	46	31	40	40	42	31	1
ENSNFUG00015000567	2	6	4	4	2	5	1	3	3	5	6	1
ENSNFUG00015000569	152	151	104	115	156	166	118	136	149	140	97	8
ENSNFUG00015000575	0	0	0	0	1	0	0	0	1	1	0	0
ENSNFUG00015000582	0	1	0	1	1	1	0	3	1	1	1	0
ENSNFUG00015000584	529	566	464	508	478	404	435	442	485	459	471	21
ENSNFUG00015000586	400	388	327	336	341	312	318	317	365	260	320	14
ENSNFUG00015000600	188	178	153	137	185	190	188	199	195	163	162	6
ENSNFUG00015000605	3	6	2	2	3	4	3	3	1	3	1	0
ENSNFUG00015000612	545	622	487	602	598	430	479	509	614	573	570	30
ENSNFUG00015000615	45	42	33	48	57	59	67	34	43	53	53	0
ENSNFUG00015000622	126	115	107	104	117	105	88	87	120	98	82	5
ENSNFUG00015000627	0	0	0	0	0	0	0	2	1	3	1	0
ENSNFUG00015000629	608	551	554	588	599	516	488	537	526	629	599	27
ENSNFUG00015000634	24	22	24	25	21	21	14	13	17	13	28	1
ENSNFUG00015000636	2	1	2	1	2	1	1	1	1	6	5	0
ENSNFUG00015000637	4	5	6	0	2	2	2	0	8	3	2	0
ENSNFUG00015000640	25	21	16	12	15	20	10	26	35	21	31	0
ENSNFUG00015000645	0	0	0	0	0	1	1	0	1	1	0	0
ENSNFUG00015000647	133	138	112	108	111	102	92	134	125	107	102	8
ENSNFUG00015000648	1	0	0	0	0	1	0	0	0	0	0	0
ENSNFUG00015000652	0	0	0	0	1	1	0	0	0	0	0	0
ENSNFUG00015000654	25	33	30	36	18	34	32	33	15	40	12	1
ENSNFUG00015000655	0	0	0	0	0	0	0	0	1	0	0	0
ENSNFUG00015000656	798	896	750	862	913	677	891	735	747	978	640	44
ENSNFUG00015000657	0	0	0	0	0	0	0	0	0	0	0	0
ENSNFUG00015000659	396	447	390	374	366	275	334	288	401	384	329	17
ENSNFUG00015000663	0	0	0	0	1	0	0	0	0	0	0	0
ENSNFUG00015000666	120	112	99	93	107	98	116	136	121	86	109	7
ENSNFUG00015000668	1	0	1	0	0	0	0	0	1	0	0	0
ENSNFUG00015000670	6	6	5	1	6	4	4	6	7	3	6	1
ENSNFUG00015000671	149	171	148	169	176	156	148	161	206	148	157	7
ENSNFUG00015000672	1237	1547	1448	1477	1599	1585	1557	1662	1452	1393	1571	62
ENSNFUG00015000674	0	0	1	0	0	1	0	0	0	0	0	0
ENSNFUG00015000677	0	1	1	3	2	0	1	1	4	4	7	0
ENSNFUG00015000678	0	1	0	1	1	1	0	2	0	0	0	0
ENSNFUG00015000684	7	2	2	4	3	10	10	9	9	8	4	0
ENSNFUG00015000685	0	4	1	0	0	1	5	1	0	0	0	0
ENSNFUG00015000686	15	8	14	7	5	29	13	10	12	13	10	0
